scenario,sampling,true_model,selected_model,count,reps
pilot7_current29,fixed_mask_random_latent,additive,additive,321,500
pilot7_current29,fixed_mask_random_latent,weakest,weakest,239,500
pilot7_current29,fixed_mask_random_latent,threshold,weakest,143,500
pilot7_current29,fixed_mask_random_latent,weakest,additive,183,500
pilot7_current29,fixed_mask_random_latent,threshold,additive,164,500
pilot7_current29,fixed_mask_random_latent,additive,weakest,68,500
pilot7_current29,fixed_mask_random_latent,threshold,threshold,193,500
pilot7_current29,fixed_mask_random_latent,additive,threshold,111,500
pilot7_current29,fixed_mask_random_latent,weakest,threshold,78,500
tier1_empirical79,fixed_mask_random_latent,additive,additive,384,500
tier1_empirical79,fixed_mask_random_latent,weakest,additive,224,500
tier1_empirical79,fixed_mask_random_latent,threshold,additive,212,500
tier1_empirical79,fixed_mask_random_latent,weakest,weakest,207,500
tier1_empirical79,fixed_mask_random_latent,threshold,threshold,224,500
tier1_empirical79,fixed_mask_random_latent,additive,threshold,94,500
tier1_empirical79,fixed_mask_random_latent,weakest,threshold,69,500
tier1_empirical79,fixed_mask_random_latent,threshold,weakest,64,500
tier1_empirical79,fixed_mask_random_latent,additive,weakest,22,500
tier1_new50_AF_complete,fixed_mask_random_latent,additive,additive,497,500
tier1_new50_AF_complete,fixed_mask_random_latent,weakest,additive,233,500
tier1_new50_AF_complete,fixed_mask_random_latent,threshold,threshold,155,500
tier1_new50_AF_complete,fixed_mask_random_latent,threshold,additive,324,500
tier1_new50_AF_complete,fixed_mask_random_latent,weakest,weakest,263,500
tier1_new50_AF_complete,fixed_mask_random_latent,threshold,weakest,21,500
tier1_new50_AF_complete,fixed_mask_random_latent,weakest,threshold,4,500
tier1_new50_AF_complete,fixed_mask_random_latent,additive,weakest,3,500
tier1_all79_AF_complete,fixed_mask_random_latent,additive,additive,500,500
tier1_all79_AF_complete,fixed_mask_random_latent,weakest,additive,129,500
tier1_all79_AF_complete,fixed_mask_random_latent,threshold,threshold,275,500
tier1_all79_AF_complete,fixed_mask_random_latent,weakest,weakest,371,500
tier1_all79_AF_complete,fixed_mask_random_latent,threshold,additive,215,500
tier1_all79_AF_complete,fixed_mask_random_latent,threshold,weakest,10,500
tier1_AF_plus_G,fixed_mask_random_latent,additive,additive,500,500
tier1_AF_plus_G,fixed_mask_random_latent,weakest,additive,109,500
tier1_AF_plus_G,fixed_mask_random_latent,threshold,additive,218,500
tier1_AF_plus_G,fixed_mask_random_latent,weakest,weakest,389,500
tier1_AF_plus_G,fixed_mask_random_latent,threshold,threshold,266,500
tier1_AF_plus_G,fixed_mask_random_latent,threshold,weakest,16,500
tier1_AF_plus_G,fixed_mask_random_latent,weakest,threshold,2,500
tier1_AF_plus_H,fixed_mask_random_latent,additive,additive,498,500
tier1_AF_plus_H,fixed_mask_random_latent,weakest,weakest,389,500
tier1_AF_plus_H,fixed_mask_random_latent,threshold,additive,206,500
tier1_AF_plus_H,fixed_mask_random_latent,threshold,threshold,278,500
tier1_AF_plus_H,fixed_mask_random_latent,weakest,additive,111,500
tier1_AF_plus_H,fixed_mask_random_latent,threshold,weakest,16,500
tier1_AF_plus_H,fixed_mask_random_latent,additive,weakest,2,500
tier1_AF_plus_I,fixed_mask_random_latent,additive,additive,500,500
tier1_AF_plus_I,fixed_mask_random_latent,weakest,weakest,395,500
tier1_AF_plus_I,fixed_mask_random_latent,threshold,additive,194,500
tier1_AF_plus_I,fixed_mask_random_latent,threshold,threshold,298,500
tier1_AF_plus_I,fixed_mask_random_latent,weakest,additive,103,500
tier1_AF_plus_I,fixed_mask_random_latent,threshold,weakest,8,500
tier1_AF_plus_I,fixed_mask_random_latent,weakest,threshold,2,500
tier1_AF_plus_J,fixed_mask_random_latent,additive,additive,499,500
tier1_AF_plus_J,fixed_mask_random_latent,weakest,weakest,395,500
tier1_AF_plus_J,fixed_mask_random_latent,threshold,additive,186,500
tier1_AF_plus_J,fixed_mask_random_latent,threshold,threshold,304,500
tier1_AF_plus_J,fixed_mask_random_latent,weakest,additive,103,500
tier1_AF_plus_J,fixed_mask_random_latent,weakest,threshold,2,500
tier1_AF_plus_J,fixed_mask_random_latent,threshold,weakest,10,500
tier1_AF_plus_J,fixed_mask_random_latent,additive,threshold,1,500
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,additive,additive,500,500
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,weakest,additive,110,500
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,threshold,threshold,347,500
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,weakest,weakest,388,500
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,threshold,additive,149,500
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,weakest,threshold,2,500
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,threshold,weakest,4,500
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,additive,additive,500,500
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,weakest,weakest,405,500
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,threshold,threshold,361,500
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,weakest,additive,95,500
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,threshold,additive,132,500
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,threshold,weakest,7,500
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,additive,additive,499,500
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,weakest,additive,95,500
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,threshold,threshold,343,500
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,weakest,weakest,405,500
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,threshold,additive,150,500
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,threshold,weakest,7,500
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,additive,weakest,1,500
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,additive,additive,500,500
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,weakest,additive,96,500
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,threshold,additive,118,500
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,weakest,weakest,403,500
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,threshold,threshold,373,500
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,threshold,weakest,9,500
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,weakest,threshold,1,500
tier1_complete79,fixed_mask_random_latent,additive,additive,500,500
tier1_complete79,fixed_mask_random_latent,weakest,weakest,425,500
tier1_complete79,fixed_mask_random_latent,threshold,additive,117,500
tier1_complete79,fixed_mask_random_latent,threshold,threshold,374,500
tier1_complete79,fixed_mask_random_latent,weakest,additive,75,500
tier1_complete79,fixed_mask_random_latent,threshold,weakest,9,500
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,additive,additive,200,200
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,weakest,weakest,200,200
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,threshold,additive,17,200
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,threshold,threshold,183,200
