queue_rank,scientific_name,module_id,module_bundle,cohort,pool_role,current_state,current_AF_observed,module_observed_79,priority_score,search_round,search_focus
1,Balaenoptera musculus,B,ABE_core,remaining21_first_pass,acdb_source_candidate,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
2,Dasyurus maculatus,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
3,Eschrichtius robustus,B,ABE_core,remaining21_first_pass,acdb_source_candidate,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
4,Eubalaena australis,B,ABE_core,remaining21_first_pass,acdb_source_candidate,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
5,Eubalaena glacialis,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
6,Galerella sanguinea,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
7,Hyaena brunnea,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
8,Leptonychotes weddellii,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
9,Macropus antilopinus,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
10,Melursus ursinus,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
11,Panthera tigris,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
12,Procyon cancrivorus,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
13,Tragelaphus eurycerus,B,ABE_core,remaining21_first_pass,database_unrepresented_family_mass_calibration,not_systematically_coded,0,18,100.00,standardized_first_pass,social learning / transmission / imitation / teaching / tradition
14,Balaenoptera musculus,A,ABE_core,remaining21_first_pass,acdb_source_candidate,not_systematically_coded,0,16,99.71,standardized_first_pass,innovation / transfer / reversal / planning / novel problem solving
