scientific_name,module_id,retrieval_rank,paper_id,title,screening_status
Canis lupus,A,1,pmcid:PMC5601471,The effects of domestication and ontogeny on cognition in dogs and wolves.,pending
Canis lupus,A,2,pmid:21424916,"Wolves, dogs, rearing and reinforcement: complex interactions underlying species differences in training and problem-solving performance.",pending
Canis lupus,A,3,pmcid:PMC4614426,When dogs look back: inhibition of independent problem-solving behaviour in domestic dogs (Canis lupus familiaris) compared with wolves (Canis lupus).,pending
Canis lupus,A,4,pmcid:PMC4306441,Domestication has not affected the understanding of means-end connections in dogs.,pending
Canis lupus,A,5,pmid:21365204,A comparison of problem-solving and spatial orientation in the wolf (Canis lupus) and dog (Canis familiaris).,pending
Canis lupus,A,6,doi:10.1101/2024.09.03.610928,"Inference in wolves and dogs: The ""cups task"", revisited",pending
Canis lupus,A,7,pmcid:PMC3906065,Wolves are better imitators of conspecifics than dogs.,pending
Canis lupus,A,8,pmcid:PMC6266929,Differences in persistence between dogs and wolves in an unsolvable task in the absence of humans.,pending
Canis lupus,B,1,pmcid:PMC3906065,Wolves are better imitators of conspecifics than dogs.,pending
Canis lupus,B,2,pmcid:PMC3849518,Social learning from humans or conspecifics: differences and similarities between wolves and dogs.,pending
Canis lupus,B,3,pmcid:PMC6033932,Social learning from conspecifics and humans in dog puppies.,pending
Canis lupus,B,4,pmcid:PMC10499247,Observational spatial memory in wolves and dogs.,pending
Canis lupus,B,5,pmid:7193386,Evolution of canine information processing under conditions of natural and artificial selection.,pending
Canis lupus,B,6,pmcid:PMC6619663,Persistence and conspecific observations improve problem-solving abilities of coyotes.,pending
Canis lupus,B,7,pmid:24924084,Hypotheses on mechanisms underlying observational learning in animals.,pending
Canis lupus,B,8,pmcid:PMC8233883,Conflicts with Wolves Can Originate from Their Parent Packs.,pending
Canis lupus,C,1,pmcid:PMC6822943,Characterising the vocal repertoire of the Indian wolf (Canis lupus pallipes),pending
Canis lupus,C,2,pmcid:PMC5804178,"Howl variation across Himalayan, North African, Indian, and Holarctic wolf clades: tracing divergence in the world's oldest wolf lineages using acoustics.",pending
Canis lupus,C,3,pmcid:PMC9902479,Genetic distance from wolves affects family dogs' reactions towards howls.,pending
Canis lupus,C,4,pmcid:PMC11161832,The vomeronasal system of the wolf (Canis lupus signatus): The singularities of a wild canid.,pending
Canis lupus,C,5,doi:10.1101/2023.06.04.543479,Communication between wolf and domestic dog revealed from experimental scent marking,pending
Canis lupus,C,6,pmid:12083615,A new perspective on barking in dogs (Canis familiaris).,pending
Canis lupus,C,7,pmid:24896073,Developmental changes in associations among timber wolf (Canis lupus) postures.,pending
Canis lupus,C,8,pmcid:PMC6912837,Back to the Future: A Glance Over Wolf Social Behavior to Understand Dog-Human Relationship.,pending
Canis lupus,D,1,pmcid:PMC12622305,Potential Tool Use by Wolves (Canis lupus): Crab Trap Pulling in Haíɫzaqv Nation Territory.,pending
Canis lupus,D,2,pmid:22142996,Spontaneous tool-use: an observation of a dingo (Canis dingo) using a table to access an out-of-reach food reward.,pending
Canis lupus,D,3,pmcid:PMC11333551,Differences in boldness between Eurasian and American wolves (Canis lupus) might be based on adaptive mechanisms.,pending
Canis lupus,D,4,pmcid:PMC6879616,Wolves and dogs recruit human partners in the cooperative string-pulling task.,pending
Canis lupus,D,5,pmid:18183437,Comprehension of human pointing gestures in young human-reared wolves (Canis lupus) and dogs (Canis familiaris).,pending
Canis lupus,D,6,pmid:37098753,A preliminary investigation to establish conceptual behavior in gray wolves (Canis lupus).,pending
Canis lupus,D,7,pmcid:PMC5140004,"A comparison between wolves, Canis lupus, and dogs, Canis familiaris, in showing behaviour towards humans.",pending
Canis lupus,D,8,pmid:2346614,"Food-caching in timber wolves, and the question of rules of action syntax.",pending
Canis lupus,E,1,pmcid:PMC11933454,Den site selection by Indian gray wolves in tribal landscapes of Mahuadanr Wolf Sanctuary considering ecological and cultural factors.,pending
Canis lupus,E,2,pmcid:PMC6748928,"Subsidies from anthropogenic resources alter diet, activity, and ranging behavior of an apex predator (Canis lupus).",pending
Canis lupus,E,3,pmid:19967871,Wolves modulate soil nutrient heterogeneity and foliar nitrogen by configuring the distribution of ungulate carcasses.,pending
Canis lupus,E,4,pmid:7563430,Occurrence of rabies in a wolf population in northeastern Alaska.,pending
Canis lupus,E,5,pmid:18657209,"Diet shift of a facultative scavenger, the wolverine, following recolonization of wolves.",pending
Canis lupus,E,6,pmid:19055068,The case of babesiosis in farmed wolf (Canis lupus L).,pending
Canis lupus,E,7,pmcid:PMC4176725,Spatial heterogeneity in human activities favors the persistence of wolves in agroecosystems.,pending
Canis lupus,E,8,pmid:37602927,"Logging, linear features, and human infrastructure shape the spatial dynamics of wolf predation on an ungulate neonate.",pending
Castor canadensis,A,1,pmid:7385999,[Study of the extrapolation reflex in the European beaver (Castor fiber L.)].,pending
Castor canadensis,A,2,pmid:17318623,Tool-use in a display behaviour by Eurasian beavers (Castor fiber).,pending
Castor canadensis,A,3,pmcid:PMC7082303,"Behavioral flexibility: A review, a model, and some exploratory tests.",pending
Castor canadensis,A,4,pmid:14054393,[THE CEREBRAL CORTEX OF THE CANADIAN BEAVER (CASTOR CANADENSIS KUHL)].,pending
Castor canadensis,A,5,pmcid:PMC5559565,How to stay perfect: the role of memory and behavioural traits in an experienced problem and a similar problem.,pending
Castor canadensis,A,6,pmid:990911,"Some morphological, physiological and behavioral specializations in North American beavers (Castor canadensis).",pending
Castor canadensis,A,7,pmid:11569788,The evolution of intelligence: adaptive specializations versus general process.,pending
Castor canadensis,A,8,pmid:13943609,"[The corpus striatum (nucieus caudatus, putamen and globus pallidus) of the Canadian beaver (Castor canadensis Kuhl)].",pending
