scenario,sampling,n_taxa,observed_cells,total_cells,coverage,true_model,recovery_rate,median_winner_margin_rmse,coverage_A,coverage_B,coverage_C,coverage_D,coverage_E,coverage_F,coverage_G,coverage_H,coverage_I,coverage_J
pilot7_current29,fixed_mask_random_latent,29,133,290,0.4586206896551724,additive,0.63,0.0033281633081167356,4,11,8,7,7,9,24,18,26,19
pilot7_current29,fixed_mask_random_latent,29,133,290,0.4586206896551724,weakest,0.4925,0.003821352363924342,4,11,8,7,7,9,24,18,26,19
pilot7_current29,fixed_mask_random_latent,29,133,290,0.4586206896551724,threshold,0.3725,0.004186410460746526,4,11,8,7,7,9,24,18,26,19
tier1_empirical79,fixed_mask_random_latent,79,284,790,0.3594936708860759,additive,0.7525,0.0018327934005882285,9,16,11,8,10,21,60,55,53,41
tier1_empirical79,fixed_mask_random_latent,79,284,790,0.3594936708860759,weakest,0.445,0.0016289551566536567,9,16,11,8,10,21,60,55,53,41
tier1_empirical79,fixed_mask_random_latent,79,284,790,0.3594936708860759,threshold,0.435,0.002009034206734303,9,16,11,8,10,21,60,55,53,41
tier1_pilot9_partial_deep79,fixed_mask_random_latent,79,332,790,0.42025316455696204,additive,0.9025,0.005232866511881082,16,18,25,17,16,31,60,55,53,41
tier1_pilot9_partial_deep79,fixed_mask_random_latent,79,332,790,0.42025316455696204,weakest,0.4975,0.002153611966023837,16,18,25,17,16,31,60,55,53,41
tier1_pilot9_partial_deep79,fixed_mask_random_latent,79,332,790,0.42025316455696204,threshold,0.29,0.0038194841949754504,16,18,25,17,16,31,60,55,53,41
pilot9_plus_A_complete,fixed_mask_random_latent,79,395,790,0.5,additive,0.9675,0.008295615627340783,79,18,25,17,16,31,60,55,53,41
pilot9_plus_A_complete,fixed_mask_random_latent,79,395,790,0.5,weakest,0.4475,0.0027548695368443885,79,18,25,17,16,31,60,55,53,41
pilot9_plus_A_complete,fixed_mask_random_latent,79,395,790,0.5,threshold,0.27,0.00547837189810936,79,18,25,17,16,31,60,55,53,41
pilot9_plus_B_complete,fixed_mask_random_latent,79,393,790,0.49746835443037973,additive,0.925,0.0077278441377087725,16,79,25,17,16,31,60,55,53,41
pilot9_plus_B_complete,fixed_mask_random_latent,79,393,790,0.49746835443037973,weakest,0.5275,0.0026258664807651266,16,79,25,17,16,31,60,55,53,41
