rep,estimate_log_scale
1,-0.022858668739724
2,-0.0161204091649912
3,0.1336257234067402
4,0.1904922025639343
5,0.029676591797107
6,-0.0325139820055272
7,-0.0362100231954409
8,0.0639805023331669
9,0.0271667467755204
10,0.0672861455889973
11,0.109567683782948
12,-0.04020536375671
13,0.0011679578051257
14,-0.1671770975662554
15,0.0621279764140645
16,-0.0477900830233207
17,-0.0410248111383725
18,0.1016723860713366
19,0.0801626870988183
20,-0.0868283308531454
21,0.1091142593159263
22,0.1279754190665843
23,-0.0446301731061795
24,0.0157598342790969
25,-0.0066352448728409
26,-0.1439633148037735
27,0.0879369823096108
28,-0.0490528634030426
29,-0.0151569603107252
30,0.0251367706061558
31,-0.1040115871313642
32,-0.1306201069515142
33,-0.0340269807604521
34,-0.0789135806208665
35,-0.1102055173806917
36,0.0809750543223138
37,-0.0294991370761657
38,-0.0493520431680733
39,0.1139318120049791
40,-0.0868614079163765
41,-0.1311317144307654
42,-0.0409661071874074
43,-0.1583755430332515
44,-0.0284116153993202
45,-0.0695521007119635
46,-0.02973524313813
47,0.0718440969976448
48,-0.0521231841627209
49,-0.0032089509353919
50,0.0130503522450296
51,0.0212545331980177
52,-0.0945703046720169
53,0.0508029724214695
54,-0.0113529566244803
55,-0.1639296785112409
56,-0.0149676737745861
57,-0.0811668364123082
58,0.026361989933101
59,-0.0440447985628472
60,0.0340982871496347
61,-0.0582057823267833
62,0.1368200931471987
63,0.155464955219735
64,-0.0040386808085039
65,0.0566629566187163
66,-0.0680196152531698
67,0.0515864761810296
68,-0.047488073204304
69,-0.0838413760239623
70,0.0641734005101412
71,0.0494284552477007
72,-0.0858811657388525
73,-0.0133029489209504
74,-0.0874495724185725
75,-0.0341415476422313
76,0.1099679261780202
77,-0.1043787149740072
78,0.0171218861143927
79,-0.0833063459425664
80,0.0014622251124602
81,-0.1128993398574597
82,0.1735623648042624
83,-0.0752968486503495
84,0.07386200069128
85,0.146412178513224
86,0.0260581118961123
87,0.0492548795674415
88,-0.0555941658831744
89,-0.0102919205284491
90,0.0141686033122525
91,-0.0199244954427454
92,-0.0135410638531513
93,-0.0460607225816631
94,-0.0043064238562297
95,0.0672845375009433
96,-0.0583138346376028
97,0.0868402752788963
98,0.0908472168336598
99,-0.0085656778954216
100,-0.0388361343694129
101,0.0465518813903718
102,0.0632647051517964
103,-0.0166973448730725
104,-0.1213968663253239
105,-0.010914766371273
106,-0.0398239859135399
107,0.0566692257328208
108,-0.0722015159976728
109,0.0489895043861462
110,0.0335518941864245
111,0.0029842052820688
112,0.1106721161639016
113,-0.0846858971612079
114,-0.1065281526188775
115,0.0730381442467743
116,0.0450000194995603
117,-0.083463641177722
118,-0.0645449790865107
119,-0.1371864740827227
120,-0.0125322580394545
121,-0.0293159349624566
122,0.132320185434599
123,-0.0522150422575473
124,-0.0630108297237469
125,-0.0366882278464659
126,0.025588750446303
127,-0.1438937540105752
128,-0.025716332452201
129,0.0700528415938687
130,0.1014685003040698
131,0.1251382588719552
132,0.0962810555730776
133,0.0870634836238037
134,0.0249353819157126
135,-0.0301056935910612
136,-0.0554917299355691
137,-0.0404250931927561
138,-0.110245711618603
139,-0.0118528162757035
140,0.0813863428557951
141,0.1803809029452564
142,-0.0235195641449806
143,0.0029815134769609
144,-0.0103561630329545
145,0.06262627738686
146,0.0284476708640089
147,-0.1407471642620988
148,0.0050113238581663
149,0.1754588218017742
150,0.0715869564424949
151,0.1040194217898596
152,-0.0792578960255058
153,0.1265649866682406
154,-0.1220352381333928
155,0.0101562951269009
156,0.1289933723644332
157,-0.0982274161648018
158,0.0029406794561796
159,0.0542666265755001
160,0.0584432216440805
161,0.0262223851337758
162,0.0584952224413568
163,-0.0647661606121881
164,-0.1010314048824051
165,-0.0153654354071814
166,-0.0546374583437471
167,-0.0185886154160793
168,0.0204687029941238
169,0.0352817268929838
170,0.0671157156482138
171,0.0251848433704873
172,0.1139779965020729
173,-0.0777825785330491
174,-0.0697168569599407
175,-0.0584621803749284
176,-0.0717285766334843
177,0.0552619871484597
178,-0.0304985550757822
179,-0.1312727974145451
180,0.0179476654239606
181,0.0263485120278357
182,-0.0756538519683743
183,0.05399135915528
184,-0.1167919575577575
185,0.0130629193067873
186,0.0082561245750781
187,-0.119507000599372
188,-0.1462998849856357
189,-0.0440295566941013
190,-0.0492578906201503
191,-0.144980016818432
192,0.0146298370714499
193,0.0811804139895606
194,-0.0485396013147199
195,0.0223034117003623
196,-0.0500752553021546
197,0.0182038241928385
198,-0.0277084802072338
199,0.0561576797223053
200,-0.0697819209865192
201,0.1097983211398566
202,0.0198443067076426
203,0.041116780314216
204,0.0732505823055865
205,-0.0131244202703288
206,-0.0828684747945981
207,0.0572336076849495
208,0.0727730852568274
209,0.0796588379600248
210,0.0891187092450598
211,0.1624457709816627
212,0.0878140817792198
213,0.0760225911177168
214,0.0242865463700415
215,-0.0944870506169328
216,-0.0012998614804727
217,0.0891838256390486
218,0.0148386159236269
219,0.01127571835501
220,-0.0805671712518099
