record_id,title,opposition_valid,oci_candidate,rel_same_construct_reversal,rel_target_reversal,rel_functional_reversal,rel_relational_reversal,rel_proxy_reversal,idx_actor_switch,idx_level_switch,idx_time_switch,idx_construct_switch,idx_environment_switch,mech_strategic_adaptive_feedback,mech_capacity_overload,mech_nonlinear_ecological_dynamics,mech_information_filtering,mech_norm_motivational_reactance,mech_exposure_induced_adaptation,mech_intervention_toxicity,mech_coordination_externality,ev_randomized_experiment,ev_quasi_experiment,ev_longitudinal_observational,ev_cross_sectional_observational,ev_formal_model,ev_simulation,ev_qualitative_process,ev_systematic_review,ev_meta_analysis,ev_conceptual_theory,evidence_strength,result_direction,normative_valence,coder_note
V201,Staying in the loop: Is constant connectivity to work good or bad for work performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V202,"LAWS, BUREAUCRATIC AUTONOMY, AND THE COMPARATIVE STUDY OF DELEGATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V203,Algorithmic Agency and Autonomy in Archaeological Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V204,An Analysis on the Impact of Choice Overload to Consumer Decision Paralysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V205,FORMING LEARNER’S AUTONOMY BY MEANS OF TEACHER’S ROLES DELEGATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V206,Global Research Priorities to Better Understand the Burden of Iatrogenic Harm in Primary Care: An International Delphi Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V207,"The unintended consequences of COVID-19 vaccine policy: why mandates, passports and restrictions may cause more harm than good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V208,Peer Goup Dynamics Associated with Iatrogenic Effect in Group Interventions with High-Risk Young Adolescents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V209,Naloxone—does over‐antagonism matter? Evidence of iatrogenic harm after emergency treatment of heroin/opioid overdose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V210,From iatrogenic harm to iatrogenic violence: corruption and the end of medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V211,"Deterrence, Democracy, and the Pursuit of International Justice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V212,Deterrence Revisited?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V213,The Puzzling Rally-round-the-Flag Phenomenon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V214,Rally Around Which Flag?: Investigation of the Impact of Sanctions on the Rally Around the Flag Effects Using Focused Group Discussion with North Korean Defectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V215,Intergroup and intragroup competition and cooperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V216,"Unintended Consequences of Public Policies in Increasing Risk: The Safe Development Paradox in the Revólver Basin, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V217,Efficiency Without Trust: The Jevons' Paradox Compounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V218,From Efficiency Gains to Rebound Effects: The Problem of Jevons' Paradox in AI's Polarized Environmental Debate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V219,Airway network management using Braess’s Paradox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V220,Energy Rebound as a Potential Threat to a Low-Carbon Future: Findings from a New Exergy-Based National-Level Rebound Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V221,Fluency heuristic: A model of how the mind exploits a by-product of information retrieval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V222,When “Less Is More”: How Statistical Discrimination Can Decrease Predictive Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V223,Less-is-more effects without the recognition heuristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V224,The heuristic-analytic theory of reasoning: Extension and evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V225,Deliberate Ignorance and the Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V226,"Dead rats, dopamine, performance metrics, and peacock tails: Proxy failure is an inherent risk in goal-oriented systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V227,Exploring Meso-Level Dynamic Capabilities to Address the Capability Rigidity Paradox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V228,Resolving capability-rigidity paradox: An alliance-oriented perspective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V229,Conversations and Inspirations for Organizational Paradox Scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V230,Paradox and Quantum Mechanics: Implications for the Management of Organizational Paradox from a Quantum Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
